#strain_name,accession,strain_taxon_id,seq_name
YJM1402,CP005460,1294365,XIII
YJM1402,CP005562,1294365,XIV
YJM1402,CP005656,1294365,XV
YJM1402,CP006187,1294365,XVI
YJM1418,CP004481,1294368,I
YJM1418,CP004571,1294368,II
YJM1418,CP006310,1294368,III
YJM1418,CP004731,1294368,IV
YJM1418,CP004826,1294368,V
YJM1418,CP004961,1294368,VI
YJM1418,CP005265,1294368,VII
YJM1418,CP006098,1294368,VIII
YJM1418,CP005054,1294368,IX
YJM1418,CP005167,1294368,X
YJM1418,CP005362,1294368,XI
YJM1418,CP006414,1294368,XII
YJM1418,CP005463,1294368,XIII
YJM1418,CP005565,1294368,XIV
YJM1418,CP005659,1294368,XV
YJM1418,CP006190,1294368,XVI
YJM1439,CP004485,1294372,I
YJM1439,CP004575,1294372,II
YJM1439,CP006314,1294372,III
YJM1439,CP004735,1294372,IV
YJM1439,CP004830,1294372,V
YJM1439,CP004965,1294372,VI
YJM1439,CP005269,1294372,VII
YJM1439,CP006102,1294372,VIII
YJM1439,CP005058,1294372,IX
YJM1439,CP005171,1294372,X
YJM1439,CP005366,1294372,XI
YJM1439,CP006418,1294372,XII
YJM1439,CP005467,1294372,XIII
YJM1439,CP005569,1294372,XIV
YJM1439,CP005663,1294372,XV
YJM1439,CP006194,1294372,XVI
YJM1443,CP004486,1294373,I
YJM1443,CP004576,1294373,II
YJM1443,CP006315,1294373,III
YJM1443,CP004736,1294373,IV
YJM1443,CP004831,1294373,V
YJM1443,CP004966,1294373,VI
YJM1443,CP005270,1294373,VII
YJM1443,CP006103,1294373,VIII
YJM1443,CP005059,1294373,IX
YJM1443,CP005172,1294373,X
YJM1443,CP005367,1294373,XI
YJM1443,CP006419,1294373,XII
YJM1443,CP005468,1294373,XIII
YJM1443,CP005570,1294373,XIV
YJM1443,CP005664,1294373,XV
YJM1443,CP006195,1294373,XVI
YJM1444,CP004487,1294374,I
YJM1444,CP004577,1294374,II
YJM1444,CP006316,1294374,III
YJM1444,CP004737,1294374,IV
YJM1444,CP004832,1294374,V
YJM1444,CP004967,1294374,VI
YJM1444,CP005271,1294374,VII
YJM1444,CP006104,1294374,VIII
YJM1444,CP005060,1294374,IX
YJM1444,CP005173,1294374,X
YJM1444,CP005368,1294374,XI
YJM1444,CP006420,1294374,XII
YJM1444,CP005469,1294374,XIII
YJM1444,CP005571,1294374,XIV
